Categorias,Linea,Sublinea,Nombre,Precio1,Precio2,Medidas,Estructura,Espuma,Tela,Origen,Certifications,Tiempo de entrega,Materiales,Img_url,Product_url
Salas ,Salas ,Sofás,Sofá Bolonia,4999000,5490002,,21 días hábiles,Espuma industrializada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,100% producción nacional. ,,,,https://aristas.co/wp-content/uploads/2023/09/Sofa-bolonia-blanco-frente.jpg,https://aristas.co/producto/sofa-3p-h008-bolonia-verde-imp/
Salas ,Salas ,Sofás,Sofá 3 puestos Orleans HC-838 FAB,5599000,,,,Espuma inyectada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,Medio Oriente ,,8 días hábiles,,https://aristas.co/wp-content/uploads/2023/11/frente-16.jpg,https://aristas.co/producto/sofa-3-puestos-orleans-hc-838-fab/
Salas ,Salas ,Sofás,Sofá 2 puestos Orleans HC-821-2S FAB,6599000,,,,Espuma inyectada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,Medio Oriente ,,8 días hábiles,,https://aristas.co/wp-content/uploads/2023/11/frente-5-1.jpg,https://aristas.co/producto/sofa-2-puestos-orleans-hc-821-2s-fab/
Salas ,Salas ,Sofás,Sofá Milan,2722000,3500000,,Patas taco con acabo en pintura Nogal y Chocolate.,Resorte Nosag e hilo PP. Espuma industrializada flexible de poliuretano de alta densidad y alta resistencia,,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/SOFA-MILANO-8.jpg,https://aristas.co/producto/sofa-milan/
Salas ,Salas ,Sofás,Sofá Estambul,3999000,4599000,,"Estructura en pino radiata, hilos de polipropileno, espuma industrializada flexible de poliuretano de alta densidad y alta resistencia, resorte nosag y resortes encapsulados.",Espuma industrializada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/Sofa-estambul-3-puestos-frente.jpg,https://aristas.co/producto/sofa-estambul-nal/
Salas ,Salas ,Sofás,Sofá Demand,2815000,3600000,,,,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/frente-1-scaled-1.jpg,https://aristas.co/producto/sofa-demand/
Salas ,Salas ,Sofás,Sofá Cronos,3600000,4169000,,21 días hábiles,Espuma industrializada de alta densidad y resiliencia – Resortes Encapsulados independientes.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1-Sofa-Cronos-_-Cuarzo-1.jpg,https://aristas.co/producto/sofa-cronos/
Salas ,Salas ,Sofás,Sofá Julieta,2695530,3572000,,21 días hábiles,Espuma industrializada de alta densidad y resiliencia – Resortes encapsulados independientes.,Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1-Sofa-Julieta-_-Cuarzo.jpg,https://aristas.co/producto/sofa-julieta/
Salas ,Salas ,Sofás,Sofá Austin,2732235,3546000,,21 días hábiles,Espuma industrializada de alta densidad y resiliencia – Resortes encapsulados independientes en cada cojín de asiento.,"Telas de alta resistencia al desgaste – Tipo Dickens Terciopelo., Telas de alta resistencia al desgaste.",100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1-Sofa-Austin-_-Roca-1.jpg,https://aristas.co/producto/sofa-austin/
Salas ,Salas ,Sofás,Sofá Maia,4177000,4804000,,21 días hábiles,Espuma industrializada de alta densidad > Resortes Encapsulados independientes.,"Telas de alta gama, con resistencia al desgaste.",100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,41 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/1.Sofa-maia-dikens-cuarzo.jpg,https://aristas.co/producto/sofa-maia/
